Rows	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
dl	97.04	92.13	85.62	77.85	69.27	60.34	51.5	43.11	35.46	28.72	22.97	18.19	14.33	11.27	8.89	7.06	5.67	4.6	3.78	3.13	2.63	2.21	1.88	1.59	1.35	1.15	0.97	0.82	0.69	0.57	0.47	0.39	0.31	0.25	0.19	0.14	0.1	0.06	0.03	0
tw	99.24	97	93.4	88.45	81.61	71.19	54.98	34.87	18.19	8.58	3.99	1.9	0.92	0.45	0.21	0.1	0.05	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sn	99.8	99.3	98.6	97.7	96.8	95.7	90.8	47	4.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
